"title","genres","vote_average","vote_count","director","popularity","cast","keywords","index"
"Men in Black 3","Action Comedy Science Fiction",6.2,4160,"Barry Sonnenfeld",52.035179,"Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson","time travel time machine alien fictional government agency seeing the future",18
"The Hobbit: The Battle of the Five Armies","Action Adventure Fantasy",7.1,4760,"Peter Jackson",120.96574299999999,"Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish","corruption elves dwarves orcs middle-earth (tolkien)",19
"The Amazing Spider-Man","Action Adventure Fantasy",6.5,6586,"Marc Webb",89.866276,"Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott","loss of father vigilante serum marvel comic scientific experiment",20
"Robin Hood","Action Adventure",6.2,1398,"Ridley Scott",37.668301,"Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong","robin hood archer knight sherwood forest bow and arrow",21
"The Hobbit: The Desolation of Smaug","Adventure Fantasy",7.6,4524,"Peter Jackson",94.370564,"Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish","elves dwarves orcs hobbit dragon",22
"The Golden Compass","Adventure Fantasy",5.8,1303,"Chris Weitz",42.990906,"Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green","england compass experiment lordship uncle",23
"King Kong","Adventure Drama Action",6.6,2337,"Peter Jackson",61.226009999999995,"Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks","film business screenplay show business film making film producer",24
"Titanic","Drama Romance Thriller",7.5,7562,"James Cameron",100.025899,"Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates","shipwreck iceberg ship panic titanic",25
"Captain America: Civil War","Adventure Action Science Fiction",7.1,7241,"Anthony Russo",198.37239499999998,"Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie","civil war war marvel comic sequel superhero",26
"Battleship","Thriller Action Adventure Science Fiction",5.5,2114,"Peter Berg",64.928382,"Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano","fight u.s. navy mind reading hong kong soccer",27
"Jurassic World","Action Adventure Science Fiction Thriller",6.5,8662,"Colin Trevorrow",418.708552,"Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson","monster dna tyrannosaurus rex velociraptor island",28
"Skyfall","Action Adventure Thriller",6.9,7604,"Sam Mendes",93.004993,"Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris","spy secret agent sociopath killer art gallery",29
"Spider-Man 2","Action Adventure Fantasy",6.7,4321,"Sam Raimi",35.149586,"Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris","dual identity love of one's life pizza boy marvel comic sequel",30
"Iron Man 3","Action Adventure Science Fiction",6.8,8806,"Shane Black",77.68208,"Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall","terrorist war on terror tennessee malibu marvel comic",31
"Alice in Wonderland","Family Fantasy Adventure",6.4,4645,"Tim Burton",78.530105,"Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover","based on novel fictional place queen fantasy alice in wonderland",32
"X-Men: The Last Stand","Adventure Action Science Fiction Thriller",6.3,3525,"Brett Ratner",3.857526,"Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen","mutant marvel comic based on comic book superhuman beast",33
"Monsters University","Animation Family",7,3528,"Dan Scanlon",89.186492,"Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston","monster dormitory games animation best friend",34
"Transformers: Revenge of the Fallen","Science Fiction Action Adventure",6,3138,"Michael Bay",21.939663,"Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson","egypt sun chaos symbol artifact",35
"Transformers: Age of Extinction","Science Fiction Action Adventure",5.8,3095,"Michael Bay",116.840296,"Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor","sequel alien transformers giant robot robot",36
"Oz: The Great and Powerful","Fantasy Adventure Family",5.7,3530,"Sam Raimi",46.985445,"James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff","circus witch magic hope illusion",37
"The Amazing Spider-Man 2","Action Adventure Fantasy",6.5,4179,"Marc Webb",89.270217,"Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott","obsession marvel comic sequel based on comic book electrocution",38
"TRON: Legacy","Adventure Action Science Fiction",6.3,2841,"Joseph Kosinski",73.79505,"Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta","artificial intelligence secret identity computer program dystopia computer",39
"Cars 2","Animation Family Adventure Comedy",5.8,2033,"John Lasseter",49.98659,"Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro","car race sequel comedy anthropomorphism best friend",40
"Green Lantern","Adventure Action Thriller Science Fiction",5.1,2487,"Martin Campbell",51.872839,"Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong","dc comics transformation superhero alien alien infection",41
"Toy Story 3","Animation Family Comedy",7.6,4597,"Lee Unkrich",59.99541800000001,"Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton","hostage college toy barbie animation",42
"Terminator Salvation","Action Science Fiction Thriller",5.9,2463,"McG",71.862892,"Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard","saving the world artificial intelligence prophecy san francisco cyborg",43
"Furious 7","Action",7.3,4176,"James Wan",102.32221700000001,"Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson","car race speed revenge suspense car",44
"World War Z","Action Drama Horror Science Fiction Thriller",6.7,5560,"Marc Forster",81.834855,"Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale","dystopia apocalypse zombie nuclear weapons multiple perspectives",45
"X-Men: Days of Future Past","Action Adventure Fantasy Science Fiction",7.5,6032,"Bryan Singer",118.07869099999999,"Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry","1970s mutant time travel marvel comic based on comic book",46
"Star Trek Into Darkness","Action Adventure Science Fiction",7.4,4418,"J.J. Abrams",78.29101800000002,"Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg","spacecraft friendship sequel futuristic space",47
"Jack the Giant Slayer","Action Family Fantasy",5.5,2598,"Bryan Singer",43.349855,"Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane","based on fairy tale giant",48
"The Great Gatsby","Drama Romance",7.3,3769,"Baz Luhrmann",61.196070999999996,"Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki","based on novel infidelity obsession hope 3d",49
"Prince of Persia: The Sands of Time","Adventure Fantasy Action Romance",6.2,2317,"Mike Newell",62.169881000000004,"Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint","persia sandstorm brother against brother armageddon regent",50
"Pacific Rim","Action Science Fiction Adventure",6.7,4794,"Guillermo del Toro",56.523205000000004,"Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman","dystopia giant robot giant monster apocalypse imax",51
"Transformers: Dark of the Moon","Action Science Fiction Adventure",6.1,3299,"Michael Bay",28.529607000000002,"Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel","moon spacecraft traitor bodyguard alien planet",52
"Indiana Jones and the Kingdom of the Crystal Skull","Adventure Action",5.7,2495,"Steven Spielberg",75.674458,"Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen","saving the world riddle whip treasure mexico city",53
"The Good Dinosaur","Adventure Animation Family",6.6,1736,"Peter Sohn",51.692953,"Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla","tyrannosaurus rex friends alternate history dinosaur fear",54
"Brave","Animation Adventure Comedy Family Action",6.7,4641,"Brenda Chapman",125.114374,"Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd","scotland rebel bravery kingdom archer",55
"Star Trek Beyond","Action Adventure Science Fiction",6.6,2568,"Justin Lin",65.352913,"Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana","sequel stranded hatred space opera",56
"WALL·E","Animation Family",7.8,6296,"Andrew Stanton",66.390712,"Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger","romantic comedy",57
"Rush Hour 3","Action Comedy Crime Thriller",6.1,783,"Brett Ratner",22.57178,"Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal","ambassador",58
"2012","Action Adventure Science Fiction",5.6,4903,"Roland Emmerich",45.274225,"John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt","civilization natural disaster end of the world disaster apocalypse",59
"A Christmas Carol","Animation Drama",6.6,1095,"Robert Zemeckis",39.744242,"Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan","holiday based on novel victorian england money christmas eve",60
"Jupiter Ascending","Science Fiction Fantasy Action Adventure",5.2,2768,"Lilly Wachowski",85.36908000000003,"Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth","jupiter space woman director 3d interspecies romance",61
"The Legend of Tarzan","Action Adventure",5.5,2430,"David Yates",42.741719,"Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou","africa feral child tarzan jungle animal attack",62
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Adventure Family Fantasy",6.7,2629,"Andrew Adamson",67.391328,"William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson","saving the world witch based on novel brother sister relationship self sacrifice",63
"X-Men: Apocalypse","Science Fiction",6.4,4721,"Bryan Singer",139.272042,"James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac","mutant supernatural powers marvel comic superhero based on comic book",64
"The Dark Knight","Drama Action Crime Thriller",8.2,12002,"Christopher Nolan",187.322927,"Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal","dc comics crime fighter secret identity scarecrow sadism",65
"Up","Animation Comedy Family Adventure",7.7,6870,"Pete Docter",92.201962,"Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo","age difference central and south america balloon animation floating in the air",66
"Monsters vs Aliens","Animation Family Adventure Science Fiction",6,1423,"Conrad Vernon",36.167578000000006,"Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland","alien giant robot duringcreditsstinger",67
"Iron Man","Action Science Fiction Adventure",7.4,8776,"Jon Favreau",120.725053,"Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow","middle east arms dealer malibu marvel comic superhero",68
"Hugo","Adventure Drama Family",7,2141,"Martin Scorsese",32.319043,"Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone","library clock film director key toy",69
"Wild Wild West","Action Adventure Comedy Science Fiction Western",5.1,1020,"Barry Sonnenfeld",40.748915000000004,"Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh","steampunk based on tv series steam locomotive drag",70
"The Mummy: Tomb of the Dragon Emperor","Adventure Action Fantasy",5.2,1387,"Rob Cohen",60.034162,"Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford","undefined",71
"Suicide Squad","Action Adventure Crime Fantasy Science Fiction",5.9,7458,"David Ayer",90.23791999999999,"Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto","dc comics shared universe anti hero secret mission villain",72
"Evan Almighty","Fantasy Comedy Family",5.3,1151,"Tom Shadyac",27.082182,"Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins","father son relationship daily life married couple support father",73
"Edge of Tomorrow","Action Science Fiction",7.6,4858,"Doug Liman",79.456485,"Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong","deja vu time warp restart dystopia war",74
"Waterworld","Adventure Action",5.9,992,"Kevin Reynolds",44.640291999999995,"Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann","ocean tattoo mutant water dystopia",75
"G.I. Joe: The Rise of Cobra","Adventure Action Thriller Science Fiction",5.6,1962,"Stephen Sommers",32.852443,"Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt","terrorist secret hostage technology warhead",76
"Inside Out","Drama Comedy Animation Family",8,6560,"Pete Docter",128.65596399999998,"Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black","dream cartoon imaginary friend animation family",77
"The Jungle Book","Family Adventure Drama Fantasy",6.7,2892,"Jon Favreau",94.19931600000001,"Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson","based on novel snake wolf elephant tiger",78
"Iron Man 2","Adventure Action Science Fiction",6.6,6849,"Jon Favreau",77.30019399999998,"Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke","malibu marvel comic superhero based on comic book revenge",79
"Snow White and the Huntsman","Adventure Fantasy Drama",5.8,3118,"Rupert Sanders",77.178973,"Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane","queen magic fairy tale immortality forest",80
"Maleficent","Fantasy Adventure Action Family Romance",7,4496,"Robert Stromberg",110.62064699999999,"Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple","fairy tale villain sleeping beauty dark fantasy based on fairy tale",81
"Dawn of the Planet of the Apes","Science Fiction Action Drama Thriller",7.3,4410,"Matt Reeves",243.79174300000003,"Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell","leader colony post-apocalyptic dystopia forest",82
"The Lovers","Action Adventure Science Fiction Romance",4.8,34,"Roland Joff\u00e9",2.418535,"Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu","undefined",83
"47 Ronin","Drama Action Adventure Fantasy",5.9,1326,"Carl Rinsch",41.796339,"Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka","japan suicide samurai based on true story samurai sword",84
"Captain America: The Winter Soldier","Action Adventure Science Fiction",7.6,5764,"Anthony Russo",72.22526500000002,"Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan","washington d.c. future shield marvel comic superhero",85
"Shrek Forever After","Comedy Adventure Fantasy Animation Family",6,1959,"Mike Mitchell",44.041185999999996,"Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews","ogre 3d",86
"Tomorrowland","Adventure Family Mystery Science Fiction",6.2,2846,"Brad Bird",130.311355,"Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie","inventor apocalypse destiny imax dreamer",87
"Big Hero 6","Adventure Family Animation Action Comedy",7.8,6135,"Chris Williams",203.73459,"Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung","brother brother relationship hero talent revenge best friend",88
"Wreck-It Ralph","Family Animation Comedy Adventure",7.1,4570,"Rich Moore",62.341073,"John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk","support group product placement bullying racing arcade",89
"The Polar Express","Adventure Animation Family Fantasy",6.4,1474,"Robert Zemeckis",47.323228,"Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen","santa claus nerd faith gift bell",90
"Independence Day: Resurgence","Action Adventure Science Fiction",4.9,2491,"Roland Emmerich",48.775723,"Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward","alternate history alien invasion",91
"How to Train Your Dragon","Fantasy Adventure Animation Family",7.5,4227,"Chris Sanders",67.263269,"Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill","flying blacksmith arena island night",92
"Terminator 3: Rise of the Machines","Action Thriller Science Fiction",5.9,2143,"Jonathan Mostow",69.405188,"Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews","saving the world artificial intelligence man vs machine cyborg killer robot",93
"Guardians of the Galaxy","Action Science Fiction Adventure",7.9,9742,"James Gunn",481.09862400000003,"Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper","marvel comic spaceship space outer space orphan",94
"Interstellar","Adventure Drama Science Fiction",8.1,10867,"Christopher Nolan",724.247784,"Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck","saving the world artificial intelligence father son relationship single parent nasa",95
"Inception","Action Thriller Science Fiction Mystery Adventure",8.1,13752,"Christopher Nolan",167.58371,"Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe","loss of lover dream kidnapping sleep subconsciousness",96
"Shin Godzilla","Action Adventure Drama Horror Science Fiction",6.5,143,"Hideaki Anno",9.476999000000001,"Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru","monster godzilla giant monster destruction kaiju",97
"The Hobbit: An Unexpected Journey","Adventure Fantasy Action",7,8297,"Peter Jackson",108.849621,"Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett","riddle elves dwarves orcs middle-earth (tolkien)",98
"The Fast and the Furious","Action Crime Thriller",6.6,3428,"Rob Cohen",6.909942,"Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune","street gang car race undercover auto-tuning los angeles",99
"The Curious Case of Benjamin Button","Fantasy Drama Thriller Mystery Romance",7.3,3292,"David Fincher",60.269279000000004,"Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning","diary navy funeral tea travel",100
"X-Men: First Class","Action Science Fiction Adventure",7.1,5181,"Matthew Vaughn",3.195174,"James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne","cia mutant mine marvel comic superhero",101
"The Hunger Games: Mockingjay - Part 2","Action Adventure Science Fiction",6.6,3984,"Francis Lawrence",127.28442700000001,"Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks","revolution strong woman dystopia game of death 3d",102
"The Sorcerer's Apprentice","Fantasy Adventure Action Comedy Drama",5.8,1470,"Jon Turteltaub",35.580815,"Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer","witch fire wolf fountain magic",103
"Poseidon","Adventure Action Drama Thriller",5.5,583,"Wolfgang Petersen",21.133748,"Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum","new year's eve fire drowning cataclysm loss of father",104
"Alice Through the Looking Glass","Fantasy",6.5,1725,"James Bobin",56.268916000000004,"Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman","based on novel clock queen sequel alice in wonderland",105
"Shrek the Third","Fantasy Adventure Animation Comedy Family",6,2278,"Chris Miller",42.986467,"Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas","ambush sadness stage liberation of prisoners island",106
"Warcraft","Action Adventure Fantasy",6.3,2268,"Duncan Jones",63.148529,"Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper","video game elves orcs magic chase",107
"Terminator Genisys","Science Fiction Action Thriller Adventure",5.8,3631,"Alan Taylor",202.04263500000002,"Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons","saving the world artificial intelligence cyborg killer robot future",108
"The Chronicles of Narnia: The Voyage of the Dawn Treader","Adventure Family Fantasy",6.2,1514,"Michael Apted",49.661984000000004,"Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel","based on novel magic good vs evil king narnia",109
"Pearl Harbor","History Romance War",6.6,1791,"Michael Bay",34.20669,"Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight","nurse patriotism hawaii world war ii pilot",110
"Transformers","Adventure Science Fiction Action",6.6,4040,"Michael Bay",25.468493,"Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson","destroy transformation alien based on toy transformers",111
"Alexander","War History Action Adventure Drama",5.6,927,"Oliver Stone",39.019228999999996,"Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers","aristotle egypt greece persia elephant",112
"Harry Potter and the Order of the Phoenix","Adventure Fantasy Family Mystery",7.4,5494,"David Yates",78.14439499999997,"Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes","prophecy witch loss of lover magic cutting the cord",113
"Harry Potter and the Goblet of Fire","Adventure Fantasy Family",7.5,5608,"Mike Newell",101.250416,"Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon","magic dying and death broom sorcerer's apprentice school of witchcraft",114
"Hancock","Fantasy Action",6.2,2961,"Peter Berg",56.758410999999995,"Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan","flying alcohol love of one's life forbidden love lovers",115
"I Am Legend","Drama Horror Action Thriller Science Fiction",6.9,4853,"Francis Lawrence",70.867401,"Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith","saving the world lost civilisation post-apocalyptic dystopia matter of life and death",116
"Charlie and the Chocolate Factory","Adventure Comedy Family Fantasy",6.7,3624,"Tim Burton",53.90559200000001,"Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter","london england father son relationship chocolate factory worker based on novel",117
"Ratatouille","Animation Comedy Family Fantasy",7.5,4369,"Jan Pinkava",65.677399,"Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn","paris brother brother relationship expensive restaurant river cook",118
"Batman Begins","Action Crime Drama",7.5,7359,"Christopher Nolan",115.040024,"Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman","himalaya martial arts dc comics crime fighter secret identity",119
"Madagascar: Escape 2 Africa","Family Animation",6.2,1810,"Eric Darnell",44.141021,"Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer","africa jealousy dance hunger lion",120
"Night at the Museum: Battle of the Smithsonian","Adventure Fantasy Action Comedy Family",5.9,1971,"Shawn Levy",81.781591,"Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams","museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian",121
"X-Men Origins: Wolverine","Adventure Action Thriller Science Fiction",6.2,4021,"Gavin Hood",5.954333999999999,"Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds","corruption mutant boxer army marvel comic",122
"The Matrix Revolutions","Adventure Action Thriller Science Fiction",6.4,3096,"Lilly Wachowski",73.313918,"Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice","saving the world artificial intelligence man vs machine flying philosophy",123
"Frozen","Animation Adventure Family",7.3,5295,"Chris Buck",165.12536599999999,"Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana","queen musical princess betrayal snowman",124
"The Matrix Reloaded","Adventure Action Thriller Science Fiction",6.7,3443,"Lilly Wachowski",70.78591,"Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis","saving the world artificial intelligence man vs machine martial arts kung fu",125
"Thor: The Dark World","Action Adventure Fantasy",6.8,4755,"Alan Taylor",99.499595,"Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston","marvel comic superhero based on comic book hostile takeover norse mythology",126
"Mad Max: Fury Road","Action Adventure Science Fiction Thriller",7.2,9427,"George Miller",434.27856399999996,"Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman","future chase post-apocalyptic dystopia australia",127
"Angels & Demons","Thriller Mystery",6.5,2129,"Ron Howard",67.447636,"Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino","rome vatican based on novel symbolism christian",128
"Thor","Adventure Fantasy Action",6.6,6525,"Kenneth Branagh",86.493424,"Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd","new mexico banishment shield marvel comic hammer",129
